도로명전체주소,사업장명,위도,경도
"경기도 의정부시 호국로 1319, 105호 (의정부동)",한서약국,37.74394383,127.0507646
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 금오로 121-9, 1층 (금오동)",성모대학온누리약국,37.75779615,127.0783406
"경기도 의정부시 신흥로 282, 1층 (의정부동)",연수온누리약국,37.74123227,127.0432998
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",종로약국,37.73078738,127.0571381
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 호국로1310번길 46, 1층 (의정부동)",송약국,37.74152616,127.0495112
"경기도 의정부시 추동로1번길 56, 1층 (신곡동)",사람사는경희한약국,37.74462932,127.0571785
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",수약국,37.73078738,127.0571381
"경기도 의정부시 체육로 298-13, 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 의정로 191, 1층 (가능동)",늘푸른약국,37.74992286,127.0341729
"경기도 의정부시 용민로 1, 1층 (용현동)",용현비타민약국,37.73425053,127.0793901
"경기도 의정부시 태평로 72, 1층 (의정부동)",판도라시장약국,37.73894636,127.0519387
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
"경기도 의정부시 체육로 306-28, 106호 (녹양동)",녹양약국,37.75989796,127.0413487
"경기도 의정부시 신촌로 7, 1층 (가능동)",다나약국,37.75045455,127.0352965
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
"경기도 의정부시 체육로 306-24, 1층 (녹양동)",대성약국,37.76012374,127.0413649
"경기도 의정부시 금신로 368, 105호 (금오동, 거성빌딩)",유명약국,37.7479817,127.0585336
"경기도 의정부시 평화로 228, 108호 (호원동)",이화사랑약국,37.71220359,127.047778
"경기도 의정부시 오목로 215, 102호 (민락동, 송림프라자)",송림약국,37.74550461,127.0990557
"경기도 의정부시 평화로 660, 1층 (가능동)",한마음약국,37.75088469,127.0448
"경기도 의정부시 평화로 660, 1층 (가능동)",한마음약국,37.75088469,127.0448
"경기도 의정부시 태평로 72, 1층 (의정부동)",판도라 시장약국,37.73894636,127.0519387
"경기도 의정부시 장곡로 224 (장암동, 롯데마트 장암점)",소나무약국,37.72370423,127.0530594
"경기도 의정부시 의정로 44, 1층 (의정부동)",해맑은약국,37.73667018,127.0352977
"경기도 의정부시 충의로 62, 2층 (용현동)",행복한2층약국,37.73749228,127.0874518
"경기도 의정부시 호국로1310번길 7, 1층 (의정부동)",경희진한약국,37.74321981,127.0497074
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 금오로 9, 1층 (금오동)",새경희약국,37.75331654,127.0667786
"경기도 의정부시 신촌로 7, 1층 (가능동)",다나약국,37.75045455,127.0352965
"경기도 의정부시 충의로 62, 2층 (용현동)",행복한2층약국,37.73749228,127.0874518
"경기도 의정부시 평화로 635, 1층 (의정부동)",으뜸약국,37.74865738,127.0448591
"경기도 의정부시 청사로 38, 2층 (금오동, 홈플러스)",플러스약국,37.75216372,127.0710013
경기도 의정부시  청사로48번길  7 (금오동),정연약국,37.75291958,127.070482
"경기도 의정부시 평화로 381, 107,108호 (호원동)",준원프라자약국,37.72596851,127.0478977
"경기도 의정부시 체육로 306-24, 105호 (녹양동)",대성약국,37.76012374,127.0413649
경기도 의정부시 가능로 97 (가능동),평안약국,37.74697442,127.042048
"경기도 의정부시 신촌로 7, 1층 (가능동)",해뜨는약국,37.75045455,127.0352965
경기도 의정부시 신촌로 65 (가능동),진영엠약국,37.75055893,127.0417613
"경기도 의정부시 신흥로 141-1, 1층 (호원동)",우리들약국,37.72880537,127.0433184
경기도 의정부시 평화로 152 (호원동),김약국,37.70539055,127.0483474
"경기도 의정부시 동일로 640, 1층 (금오동)",터미널약국,37.74521216,127.0550777
"경기도 의정부시 동일로472번길 29, 1층 (신곡동)",조은약국,37.73109392,127.0603383
"경기도 의정부시 태평로 78, 1층 (의정부동)",밝은약국,37.7395976,127.0518835
경기도 의정부시 행복로 40 (의정부동),메디칼약국,37.74197518,127.050409
"경기도 의정부시 태평로 8, 1층 (의정부동)",정온누리약국,37.73385181,127.0488091
"경기도 의정부시 신흥로 146-1, 1층 (호원동)",우리들약국,37.72916021,127.0439354
"경기도 의정부시 평화로 525, 1층 (의정부동)",분스의정부역사약국,37.73799015,127.0458795
"경기도 의정부시 신흥로 146-1, 102호 (호원동)",우리들약국,37.72916021,127.0439354
경기도 의정부시 평화로 525 (의정부동),분스의정부역사약국,37.73799015,127.0458795
"경기도 의정부시 범골로 128, 1층 (의정부동)",금화약국,37.73553403,127.0396452
"경기도 의정부시 장곡로 224, 2층 (장암동, 롯데마트)",소나무약국,37.72370423,127.0530594
경기도 의정부시 태평로 66 (의정부동),제일팜약국,37.73841843,127.052065
"경기도 의정부시 시민로 237, 1층 (신곡동)",햇님약국,37.73602634,127.0610928
"경기도 의정부시 동일로 456, 109호 (신곡동)",영진약국,37.72899451,127.0597508
"경기도 의정부시 녹양로 77, 1,2층 (녹양동)",아이사랑약국,37.75776485,127.0339747
"경기도 의정부시 신촌로29번길 24, 1층 (가능동)",자연약국,37.75144713,127.0379722
"경기도 의정부시 청사로 38, 2층 (금오동)",플러스약국,37.75216372,127.0710013
"경기도 의정부시 평화로 359, 122,132호 (호원동)",솔약국,37.72400473,127.047943
